,类别,最高排名
0,社会时事,1
1,社会时事,1
2,社会时事,2
3,社会时事,10
4,社会时事,11
5,社会时事,4
6,社会时事,3
7,社会时事,9
8,社会时事,2
9,社会时事,3
10,社会时事,1
11,社会时事,5
12,社会时事,6
13,社会时事,10
14,社会时事,5
15,社会时事,10
16,社会时事,6
17,社会时事,5
18,社会时事,2
19,社会时事,15
20,社会时事,6
21,社会时事,6
22,社会时事,8
23,社会时事,10
24,社会时事,3
25,社会时事,6
26,社会时事,10
27,社会时事,6
28,社会时事,1
29,社会时事,10
30,社会时事,4
31,社会时事,11
32,社会时事,9
33,社会时事,4
34,社会时事,8
35,社会时事,9
36,社会时事,7
37,社会时事,9
38,社会时事,15
39,社会时事,6
40,社会时事,3
41,社会时事,3
42,社会时事,5
43,社会时事,9
44,社会时事,11
45,社会时事,10
46,社会时事,2
47,社会时事,3
48,社会时事,5
49,社会时事,9
50,社会时事,10
51,社会时事,2
52,社会时事,15
53,社会时事,1
54,社会时事,2
55,社会时事,5
56,社会时事,10
57,社会时事,1
58,社会时事,7
59,社会时事,2
60,社会时事,3
61,社会时事,2
62,社会时事,14
63,社会时事,8
64,社会时事,10
65,社会时事,1
66,社会时事,8
67,社会时事,10
68,社会时事,13
69,社会时事,5
70,社会时事,3
71,社会时事,10
72,社会时事,3
73,社会时事,9
74,社会时事,9
75,社会时事,5
76,社会时事,9
77,社会时事,5
78,社会时事,5
79,社会时事,2
80,社会时事,6
81,社会时事,9
82,社会时事,5
83,社会时事,10
84,社会时事,3
85,社会时事,4
86,社会时事,3
87,社会时事,2
88,社会时事,5
89,社会时事,5
90,社会时事,2
91,社会时事,2
92,社会时事,6
93,社会时事,10
94,社会时事,6
95,社会时事,3
96,社会时事,5
97,社会时事,10
98,社会时事,4
99,社会时事,10
100,社会时事,2
101,社会时事,2
102,社会时事,11
103,社会时事,4
104,社会时事,10
105,社会时事,3
106,社会时事,8
107,社会时事,2
108,社会时事,10
109,社会时事,6
110,社会时事,13
111,社会时事,1
112,影视剧,2
113,影视剧,5
114,影视剧,1
115,影视剧,1
116,影视剧,7
117,影视剧,1
118,影视剧,7
119,影视剧,4
120,影视剧,4
121,影视剧,7
122,影视剧,4
123,影视剧,15
124,影视剧,7
125,影视剧,5
126,影视剧,6
127,影视剧,14
128,影视剧,1
129,影视剧,1
130,影视剧,7
131,影视剧,11
132,影视剧,8
133,影视剧,4
134,影视剧,4
135,影视剧,1
136,影视剧,11
137,影视剧,7
138,影视剧,11
139,影视剧,4
140,影视剧,7
141,影视剧,14
142,影视剧,6
143,影视剧,10
144,影视剧,13
145,影视剧,8
146,影视剧,5
147,影视剧,1
148,影视剧,7
149,影视剧,9
150,影视剧,5
151,影视剧,10
152,影视剧,15
153,影视剧,11
154,影视剧,13
155,影视剧,1
156,影视剧,4
157,影视剧,4
158,影视剧,11
159,影视剧,4
160,影视剧,4
161,影视剧,14
162,影视剧,12
163,影视剧,12
164,影视剧,14
165,影视剧,12
166,影视剧,7
167,影视剧,4
168,影视剧,4
169,影视剧,8
170,影视剧,4
171,影视剧,4
172,影视剧,13
173,影视剧,1
174,影视剧,4
175,影视剧,4
176,影视剧,9
177,影视剧,12
178,影视剧,15
179,影视剧,11
180,影视剧,13
181,影视剧,7
182,影视剧,5
183,影视剧,8
184,影视剧,8
185,影视剧,7
186,影视剧,12
187,影视剧,11
188,影视剧,1
189,影视剧,1
190,影视剧,8
191,影视剧,6
192,影视剧,14
193,影视剧,7
194,影视剧,11
195,娱乐,1
196,娱乐,7
197,娱乐,8
198,娱乐,7
199,娱乐,12
200,娱乐,7
201,娱乐,9
202,娱乐,14
203,娱乐,4
204,娱乐,14
205,娱乐,13
206,娱乐,10
207,娱乐,12
208,娱乐,1
209,娱乐,8
210,娱乐,4
211,娱乐,7
212,娱乐,13
213,娱乐,4
214,娱乐,5
215,娱乐,5
216,娱乐,13
217,娱乐,7
218,娱乐,13
219,娱乐,4
220,娱乐,5
221,娱乐,4
222,娱乐,11
223,娱乐,5
224,娱乐,9
225,娱乐,15
226,娱乐,7
227,娱乐,5
228,娱乐,5
229,娱乐,1
230,娱乐,11
231,娱乐,8
232,娱乐,4
233,娱乐,5
234,娱乐,8
235,娱乐,1
236,娱乐,7
237,娱乐,9
238,娱乐,5
239,娱乐,13
240,娱乐,8
241,娱乐,6
242,娱乐,8
243,娱乐,5
244,娱乐,9
245,娱乐,6
246,娱乐,1
247,娱乐,7
248,娱乐,11
249,娱乐,1
250,娱乐,7
251,娱乐,4
252,娱乐,1
253,娱乐,4
254,娱乐,15
255,商业,1
256,商业,11
257,商业,11
258,商业,6
259,商业,6
260,商业,2
261,商业,1
262,商业,1
263,商业,5
264,商业,5
265,商业,2
266,商业,12
267,商业,2
268,商业,15
269,商业,6
270,商业,5
